DAP,median,q25,q75,mean,std
1.230000000000000000e+02,2.117590040562714826e+00,1.992972315936453187e+00,2.323152278445766328e+00,2.171553049400574587e+00,2.722778144772696196e-01
1.240000000000000000e+02,2.113429345861966180e+00,1.979880708169508230e+00,2.299421738429205053e+00,2.148391849111820573e+00,2.620728302012635957e-01
1.250000000000000000e+02,2.104556740812294713e+00,1.966014179486238245e+00,2.278406532513927552e+00,2.128094894396012293e+00,2.556097490782575643e-01
1.260000000000000000e+02,2.074056426345456394e+00,1.938816731145408978e+00,2.253739237304992038e+00,2.103685170185114917e+00,2.579852472939355157e-01
1.270000000000000000e+02,2.044435771143488623e+00,1.906575635707559391e+00,2.232179930571796422e+00,2.077691787138407520e+00,2.668927734552183351e-01
1.280000000000000000e+02,2.005075664894311771e+00,1.874233111416785613e+00,2.196446594259435336e+00,2.045427915486043080e+00,2.646289939033564242e-01
1.290000000000000000e+02,1.972895565432514875e+00,1.847264956921948809e+00,2.169385588910362817e+00,2.020135175410702644e+00,2.651230998558766760e-01
1.300000000000000000e+02,1.972561268385171207e+00,1.838900808297425415e+00,2.153731230813493269e+00,2.004234269945555535e+00,2.580317541344201437e-01
1.310000000000000000e+02,1.942952715861273161e+00,1.813403612472641591e+00,2.116460553449435622e+00,1.972258538660960570e+00,2.483111393818744628e-01
1.320000000000000000e+02,1.925495101114958807e+00,1.792102404913670899e+00,2.087116690129271479e+00,1.944314362990308576e+00,2.412454516938043747e-01
1.330000000000000000e+02,1.896679658044887029e+00,1.792443700854446487e+00,2.059535575136282048e+00,1.935759631312189866e+00,2.198234178309393660e-01
1.340000000000000000e+02,1.864270161985553731e+00,1.764151423792511331e+00,2.029245981946311339e+00,1.907508216497364018e+00,2.185974561932398086e-01
1.350000000000000000e+02,1.845496846420410897e+00,1.738328825279892520e+00,2.003196432938989524e+00,1.879184556672450768e+00,2.175714380053477559e-01
1.360000000000000000e+02,1.813285196492660845e+00,1.710753542496693536e+00,1.967758383458023452e+00,1.847912885138924155e+00,2.112672807816288467e-01
1.370000000000000000e+02,1.781307291812610938e+00,1.680118548671340584e+00,1.930033764987769906e+00,1.812999111835203125e+00,2.052817477496817755e-01
1.380000000000000000e+02,1.734948403180211818e+00,1.645092386812530671e+00,1.883497061736447709e+00,1.774076831305914981e+00,1.966130962767059509e-01
1.390000000000000000e+02,1.690135398314996262e+00,1.609490558018495943e+00,1.845739404982231990e+00,1.740108175895486609e+00,1.961062238788400247e-01
1.400000000000000000e+02,1.664387388880616436e+00,1.587989521130344972e+00,1.815342540409313532e+00,1.714092244732900339e+00,1.889308954736892976e-01
1.410000000000000000e+02,1.632680963248437367e+00,1.560794888407174508e+00,1.768210796419585673e+00,1.675110135468360850e+00,1.719913464646093681e-01
1.420000000000000000e+02,1.600986845692946359e+00,1.527147500039268913e+00,1.730417314484228530e+00,1.638047594451349509e+00,1.680252794242350078e-01
1.430000000000000000e+02,1.546121106692824210e+00,1.462575000088170540e+00,1.674233445228062500e+00,1.575831927979880476e+00,1.740906795804995910e-01
1.440000000000000000e+02,1.477951074022882505e+00,1.409771726295984351e+00,1.608406420658762048e+00,1.519468406628870172e+00,1.648201211111298414e-01
1.450000000000000000e+02,1.439648635715979008e+00,1.369525378660633397e+00,1.556690363511433084e+00,1.470927616209384725e+00,1.544118141415574130e-01
